episode,reward,rate_avg,hops_avg,ho_avg,q_spread,uniq_sat,beam_avg,rew_rate,rew_ho,loss,q_gap_avg,q_gap_noise,n_valid
91,36.1790,216,3.3,0.507,0.1181,80,0.029,0.33,-0.74,0.0729,0.0787,0.046,7.8
92,31.9779,279,3.3,0.453,0.1214,80,0.029,0.43,-0.82,0.0731,0.0806,0.046,7.7
93,41.4972,260,3.3,0.500,0.1246,82,0.029,0.40,-0.75,0.0686,0.0811,0.045,7.8
94,37.2394,278,3.2,0.473,0.1287,83,0.028,0.43,-0.79,0.0705,0.0867,0.045,7.8
95,32.1036,269,3.3,0.453,0.1291,86,0.027,0.41,-0.82,0.0702,0.0870,0.045,7.8
96,28.5077,215,3.4,0.540,0.1291,83,0.028,0.33,-0.69,0.0708,0.0853,0.045,7.7
97,42.9139,291,3.4,0.413,0.1307,79,0.030,0.45,-0.88,0.0690,0.0859,0.045,7.8
98,32.2774,263,3.4,0.533,0.1318,80,0.029,0.40,-0.70,0.0647,0.0862,0.054,7.8
99,46.1438,228,3.4,0.413,0.1322,78,0.030,0.35,-0.88,0.0684,0.0870,0.054,7.8
100,25.7075,239,3.5,0.507,0.1350,83,0.028,0.37,-0.74,0.0690,0.0880,0.062,7.8
101,26.2043,250,3.3,0.460,0.1364,78,0.030,0.38,-0.81,0.0678,0.0904,0.054,7.8
102,36.5331,212,3.4,0.493,0.1416,81,0.029,0.33,-0.76,0.0993,0.0937,0.054,7.7
103,54.5293,271,3.5,0.447,0.1505,77,0.030,0.42,-0.83,0.0705,0.0953,0.054,7.6
104,21.7292,253,3.4,0.513,0.1553,75,0.031,0.39,-0.73,0.0729,0.0956,0.062,7.7
105,37.1997,216,3.4,0.393,0.1581,82,0.029,0.33,-0.91,0.0852,0.0952,0.071,7.7
106,27.1207,248,3.4,0.547,0.1634,78,0.030,0.38,-0.68,0.0840,0.0969,0.071,7.8
107,43.9113,252,3.5,0.407,0.1674,81,0.029,0.39,-0.89,0.0757,0.1014,0.080,7.7
