episode,reward,rate_avg,hops_avg,ho_avg,q_spread,uniq_sat,beam_avg,rew_rate,rew_ho,loss,q_gap_avg,q_gap_noise,n_valid
87,32.4165,193,3.5,0.495,0.3865,92,0.034,0.30,-0.76,0.0793,0.2849,0.026,7.8
88,46.2590,218,3.4,0.475,0.3899,90,0.035,0.33,-0.79,0.0841,0.2862,0.026,7.8
89,25.8760,240,3.4,0.470,0.3919,88,0.036,0.37,-0.80,0.0808,0.2853,0.026,7.7
90,53.1817,199,3.3,0.500,0.3988,90,0.035,0.31,-0.75,0.0755,0.2906,0.025,7.8
91,57.1927,238,3.3,0.425,0.4026,90,0.035,0.37,-0.86,0.0789,0.2897,0.017,7.8
92,19.3580,239,3.4,0.495,0.4042,97,0.032,0.37,-0.76,0.0769,0.2852,0.017,7.7
93,34.4104,201,3.5,0.450,0.4022,93,0.034,0.31,-0.83,0.0765,0.2956,0.017,7.8
94,35.0575,238,3.4,0.455,0.4085,93,0.034,0.37,-0.82,0.0737,0.3020,0.025,7.8
95,22.6948,187,3.5,0.460,0.4132,89,0.035,0.29,-0.81,0.0762,0.2946,0.026,7.8
96,49.6755,217,3.4,0.460,0.4113,90,0.035,0.33,-0.81,0.0765,0.2948,0.026,7.7
97,32.6004,203,3.5,0.465,0.4121,94,0.033,0.31,-0.80,0.0805,0.2942,0.026,7.8
98,27.7576,190,3.5,0.465,0.4147,95,0.033,0.29,-0.80,0.0797,0.2942,0.026,7.8
99,44.1185,241,3.5,0.455,0.4127,95,0.033,0.37,-0.82,0.0760,0.3009,0.017,7.8
100,32.6357,241,3.4,0.500,0.4137,96,0.033,0.37,-0.75,0.0731,0.3013,0.018,7.8
101,32.2819,221,3.4,0.445,0.4176,95,0.033,0.34,-0.83,0.0795,0.3006,0.018,7.8
102,50.8053,223,3.4,0.485,0.4180,93,0.034,0.34,-0.77,0.0843,0.3022,0.018,7.8
103,63.9515,290,3.3,0.420,0.4212,101,0.031,0.45,-0.87,0.0864,0.2854,0.017,7.7
104,28.7885,212,3.3,0.480,0.4231,92,0.034,0.33,-0.78,0.0769,0.2840,0.018,7.8
105,38.8400,224,3.4,0.470,0.4153,85,0.037,0.34,-0.80,0.0765,0.2844,0.018,7.8
106,44.7480,249,3.5,0.475,0.4107,93,0.034,0.38,-0.79,0.0863,0.2757,0.018,7.8
107,31.0418,217,3.4,0.480,0.4108,94,0.033,0.33,-0.78,0.0759,0.2706,0.018,7.7
108,44.5820,209,3.3,0.455,0.4214,94,0.033,0.32,-0.82,0.0835,0.2792,0.017,7.7
109,45.1759,275,3.3,0.490,0.4227,95,0.033,0.42,-0.77,0.0850,0.2835,0.017,7.8
110,57.4388,243,3.4,0.445,0.4260,97,0.032,0.37,-0.83,0.0730,0.2925,0.025,7.8
111,42.2216,230,3.4,0.435,0.4277,93,0.034,0.35,-0.85,0.0795,0.2951,0.018,7.8
112,30.8782,233,3.3,0.500,0.4303,93,0.034,0.36,-0.75,0.0808,0.2859,0.018,7.9
113,26.0716,198,3.3,0.450,0.4280,86,0.036,0.30,-0.83,0.0799,0.2887,0.028,7.8
114,44.6742,211,3.3,0.485,0.4259,88,0.036,0.32,-0.77,0.0747,0.2959,0.037,7.8
115,54.3014,211,3.3,0.475,0.4253,92,0.034,0.32,-0.79,0.0782,0.2986,0.035,7.8
116,25.5338,246,3.4,0.450,0.4228,87,0.036,0.38,-0.83,0.0826,0.2932,0.035,7.8
117,36.5490,211,3.4,0.435,0.4163,94,0.033,0.32,-0.85,0.0813,0.2821,0.034,7.8
118,49.7041,248,3.4,0.470,0.4122,90,0.035,0.38,-0.80,0.0828,0.2707,0.034,7.8
119,19.2123,225,3.4,0.485,0.4192,89,0.035,0.35,-0.77,0.0779,0.2811,0.034,7.8
120,49.4158,216,3.3,0.465,0.4221,89,0.035,0.33,-0.80,0.0739,0.2812,0.041,7.8
121,26.6151,213,3.4,0.460,0.4231,88,0.036,0.33,-0.81,0.0811,0.2875,0.026,7.7
122,33.2124,241,3.4,0.500,0.4295,90,0.035,0.37,-0.75,0.0856,0.2947,0.025,7.8
123,34.2347,247,3.4,0.465,0.4272,93,0.034,0.38,-0.80,0.0856,0.2869,0.026,7.8
124,24.2285,196,3.4,0.480,0.4303,98,0.032,0.30,-0.78,0.0852,0.2961,0.027,7.8
125,26.3304,212,3.5,0.445,0.4309,92,0.034,0.33,-0.83,0.0844,0.2986,0.025,7.8
126,36.8785,195,3.4,0.480,0.4313,94,0.033,0.30,-0.78,0.0897,0.2989,0.017,7.7
127,54.5696,230,3.3,0.455,0.4293,89,0.035,0.35,-0.82,0.0835,0.2841,0.025,7.7
128,51.6119,289,3.3,0.450,0.4410,94,0.033,0.44,-0.83,0.0876,0.2958,0.017,7.8
129,32.7130,222,3.4,0.490,0.4350,89,0.035,0.34,-0.77,0.0887,0.2919,0.017,7.8
130,50.3655,221,3.4,0.435,0.4391,90,0.035,0.34,-0.85,0.0790,0.2899,0.017,7.8
131,25.7311,230,3.5,0.465,0.4360,90,0.035,0.35,-0.80,0.0856,0.2857,0.017,7.8
