episode,reward,rate_avg,hops_avg,ho_avg,q_spread,uniq_sat,beam_avg,rew_rate,rew_ho,loss,q_gap_avg,q_gap_noise,n_valid
77,22.1851,307,3.3,0.500,0.2692,64,0.024,0.47,-0.75,0.0782,0.1695,0.035,7.8
78,31.5221,296,3.3,0.450,0.2761,65,0.024,0.45,-0.83,0.0775,0.1829,0.034,7.7
79,28.8010,321,3.3,0.450,0.2744,65,0.024,0.49,-0.83,0.0786,0.1838,0.034,7.8
80,26.3052,287,3.3,0.460,0.2744,65,0.024,0.44,-0.81,0.0800,0.1842,0.033,7.9
81,30.7728,336,3.3,0.490,0.2775,63,0.025,0.52,-0.77,0.0738,0.1833,0.033,7.8
82,36.6914,346,3.4,0.460,0.2714,66,0.024,0.53,-0.81,0.1355,0.1778,0.048,7.9
83,34.9560,336,3.4,0.490,0.2671,66,0.024,0.52,-0.77,0.1122,0.1673,0.049,8.0
84,27.2521,313,3.4,0.470,0.2688,57,0.027,0.48,-0.80,0.0938,0.1665,0.033,7.9
85,24.9781,251,3.4,0.470,0.2766,65,0.024,0.39,-0.80,0.0826,0.1708,0.033,7.8
86,22.4430,288,3.4,0.470,0.2745,65,0.024,0.44,-0.80,0.0826,0.1640,0.033,7.9
87,22.8336,268,3.5,0.500,0.2787,61,0.026,0.41,-0.75,0.0835,0.1684,0.032,7.8
88,28.2058,302,3.4,0.460,0.2750,67,0.023,0.46,-0.81,0.0929,0.1704,0.033,7.8
89,29.4204,286,3.4,0.530,0.2790,64,0.024,0.44,-0.70,0.0968,0.1695,0.034,7.7
90,34.5112,271,3.4,0.440,0.2807,62,0.025,0.42,-0.84,0.0943,0.1674,0.033,7.8
91,30.4333,281,3.5,0.490,0.2764,63,0.025,0.43,-0.77,0.0857,0.1634,0.032,7.9
92,26.4431,323,3.4,0.460,0.2762,63,0.025,0.50,-0.81,0.0843,0.1665,0.048,7.8
93,30.2019,315,3.4,0.490,0.2752,64,0.024,0.48,-0.77,0.0757,0.1511,0.047,7.9
94,34.6036,338,3.4,0.440,0.2830,66,0.024,0.52,-0.84,0.0769,0.1526,0.046,7.9
95,31.1628,330,3.3,0.520,0.2721,66,0.024,0.51,-0.72,0.0801,0.1526,0.046,7.8
96,36.3713,327,3.4,0.460,0.2658,74,0.021,0.50,-0.81,0.0815,0.1501,0.047,7.8
97,31.2723,338,3.5,0.410,0.2707,64,0.024,0.52,-0.89,0.0779,0.1505,0.045,7.9
98,40.1525,374,3.5,0.500,0.2699,63,0.025,0.57,-0.75,0.0842,0.1589,0.045,7.9
99,31.9162,360,3.4,0.480,0.2733,58,0.027,0.55,-0.78,0.0830,0.1640,0.029,8.0
100,37.2115,284,3.4,0.470,0.2804,61,0.026,0.44,-0.80,0.0758,0.1676,0.028,7.9
101,38.5233,313,3.4,0.460,0.2717,64,0.024,0.48,-0.81,0.0718,0.1600,0.027,7.9
102,33.2753,329,3.4,0.530,0.2667,63,0.025,0.51,-0.70,0.1340,0.1549,0.026,7.9
103,32.5398,305,3.4,0.410,0.2711,61,0.026,0.47,-0.89,0.1105,0.1558,0.027,7.8
104,29.7056,285,3.4,0.520,0.2760,62,0.025,0.44,-0.72,0.0926,0.1550,0.027,7.8
105,38.4021,335,3.2,0.410,0.2732,62,0.025,0.51,-0.89,0.0893,0.1539,0.027,7.9
106,25.6831,306,3.2,0.520,0.2780,66,0.024,0.47,-0.72,0.0840,0.1493,0.027,7.9
107,31.0023,273,3.4,0.420,0.2756,63,0.025,0.42,-0.87,0.0843,0.1487,0.027,7.8
108,22.9139,290,3.5,0.540,0.2730,68,0.023,0.45,-0.69,0.1008,0.1499,0.027,7.8
109,24.8270,268,3.5,0.380,0.2738,62,0.025,0.41,-0.93,0.1014,0.1491,0.027,7.8
110,28.7062,345,3.5,0.510,0.2751,58,0.027,0.53,-0.73,0.1040,0.1601,0.028,7.8
111,31.4078,348,3.4,0.450,0.2763,64,0.024,0.54,-0.83,0.0888,0.1580,0.028,7.9
112,31.5901,340,3.2,0.490,0.2763,65,0.024,0.52,-0.77,0.0962,0.1580,0.028,8.0
113,35.2718,370,3.2,0.500,0.2741,67,0.023,0.57,-0.75,0.0818,0.1546,0.028,7.9
114,21.7471,253,3.4,0.420,0.2714,66,0.024,0.39,-0.87,0.0793,0.1585,0.014,7.9
115,32.9150,251,3.4,0.510,0.2690,65,0.024,0.39,-0.73,0.0875,0.1564,0.027,7.8
116,31.6793,348,3.4,0.430,0.2720,67,0.023,0.53,-0.86,0.0821,0.1528,0.039,7.9
117,31.5831,298,3.3,0.570,0.2766,65,0.024,0.46,-0.65,0.0881,0.1539,0.026,7.9
118,33.1268,292,3.4,0.340,0.2772,71,0.022,0.45,-0.99,0.0833,0.1551,0.026,8.0
119,33.8401,311,3.5,0.540,0.2822,67,0.023,0.48,-0.69,0.0838,0.1512,0.026,7.9
120,27.6235,320,3.5,0.450,0.2816,64,0.024,0.49,-0.83,0.0819,0.1515,0.026,7.9
121,24.6637,275,3.5,0.490,0.2848,61,0.026,0.42,-0.77,0.0805,0.1599,0.013,7.9
122,31.5557,282,3.4,0.430,0.2858,64,0.024,0.43,-0.86,0.1109,0.1613,0.000,7.9
123,23.9897,288,3.5,0.480,0.2843,68,0.023,0.44,-0.78,0.1109,0.1532,0.000,8.0
124,41.7326,353,3.5,0.450,0.2876,73,0.021,0.54,-0.83,0.0897,0.1601,0.000,7.9
125,27.3114,334,3.4,0.490,0.2934,67,0.023,0.51,-0.77,0.0847,0.1634,0.012,7.8
126,28.0563,264,3.5,0.470,0.2905,60,0.026,0.41,-0.80,0.0837,0.1590,0.012,7.8
127,39.3224,329,3.4,0.460,0.2931,61,0.026,0.51,-0.81,0.0919,0.1577,0.012,7.8
128,20.1613,306,3.2,0.470,0.3001,59,0.026,0.47,-0.80,0.0994,0.1619,0.012,7.8
