episode,reward,rate_avg,hops_avg,ho_avg,q_spread,uniq_sat,beam_avg,rew_rate,rew_ho,loss,q_gap_avg,q_gap_noise,n_valid
91,42.3578,239,3.4,0.453,0.2479,77,0.030,0.37,-0.82,0.0750,0.1706,0.037,7.8
92,50.9980,329,3.4,0.493,0.2463,82,0.029,0.51,-0.76,0.0730,0.1724,0.037,7.7
93,43.5730,291,3.4,0.420,0.2452,82,0.029,0.45,-0.87,0.0732,0.1732,0.037,7.8
94,29.1678,194,3.4,0.487,0.2474,82,0.029,0.30,-0.77,0.0721,0.1763,0.037,7.8
95,37.1859,266,3.4,0.453,0.2490,84,0.028,0.41,-0.82,0.0762,0.1777,0.036,7.8
96,47.2189,282,3.4,0.473,0.2545,77,0.030,0.43,-0.79,0.0734,0.1831,0.037,7.7
97,46.0108,272,3.3,0.460,0.2549,86,0.027,0.42,-0.81,0.0714,0.1782,0.036,7.8
98,43.3243,272,3.3,0.467,0.2558,90,0.026,0.42,-0.80,0.0730,0.1756,0.036,7.8
99,37.5391,286,3.4,0.453,0.2549,85,0.028,0.44,-0.82,0.0817,0.1756,0.036,7.8
100,16.4814,243,3.4,0.513,0.2552,79,0.030,0.37,-0.73,0.0759,0.1771,0.036,7.8
101,38.6780,239,3.5,0.420,0.2528,81,0.029,0.37,-0.87,0.0710,0.1724,0.035,7.8
102,33.2135,244,3.4,0.473,0.2567,87,0.027,0.37,-0.79,0.1088,0.1721,0.035,7.7
103,36.7585,236,3.3,0.473,0.2561,84,0.028,0.36,-0.79,0.0974,0.1708,0.035,7.6
104,40.3534,306,3.4,0.433,0.2592,80,0.029,0.47,-0.85,0.0837,0.1707,0.036,7.7
105,28.1056,234,3.5,0.487,0.2656,83,0.028,0.36,-0.77,0.0750,0.1699,0.035,7.7
106,27.9081,266,3.4,0.420,0.2639,78,0.030,0.41,-0.87,0.0836,0.1696,0.023,7.8
107,40.3805,263,3.5,0.493,0.2638,84,0.028,0.40,-0.76,0.0847,0.1750,0.022,7.7
108,38.1156,274,3.4,0.467,0.2697,78,0.030,0.42,-0.80,0.0889,0.1669,0.033,7.7
109,32.2266,214,3.3,0.460,0.2736,79,0.030,0.33,-0.81,0.0853,0.1732,0.033,7.7
110,31.5286,222,3.3,0.480,0.2751,83,0.028,0.34,-0.78,0.0833,0.1756,0.033,7.8
111,52.5329,313,3.4,0.467,0.2777,85,0.028,0.48,-0.80,0.0875,0.1721,0.032,7.8
112,24.2270,237,3.4,0.460,0.2820,85,0.028,0.36,-0.81,0.0783,0.1718,0.032,7.9
113,57.8196,247,3.3,0.447,0.2840,81,0.029,0.38,-0.83,0.0780,0.1743,0.032,7.8
114,47.9865,289,3.4,0.493,0.2835,83,0.028,0.44,-0.76,0.0742,0.1791,0.022,7.8
115,33.8510,266,3.4,0.493,0.2881,86,0.027,0.41,-0.76,0.0754,0.1815,0.022,7.7
116,43.0292,313,3.4,0.433,0.2869,86,0.027,0.48,-0.85,0.0775,0.1888,0.000,7.8
117,43.5646,241,3.4,0.480,0.2853,80,0.029,0.37,-0.78,0.0793,0.1939,0.000,7.8
118,42.0835,252,3.4,0.487,0.2825,85,0.028,0.39,-0.77,0.0798,0.1918,0.000,7.8
119,36.5949,284,3.4,0.433,0.2835,85,0.028,0.44,-0.85,0.0803,0.1886,0.000,7.8
120,29.8198,261,3.3,0.467,0.2838,78,0.030,0.40,-0.80,0.0739,0.1891,0.000,7.7
121,39.1016,253,3.3,0.507,0.2818,77,0.030,0.39,-0.74,0.0735,0.1830,0.000,7.7
122,44.1039,316,3.3,0.453,0.2884,84,0.028,0.49,-0.82,0.1059,0.1820,0.011,7.7
123,34.2912,253,3.4,0.487,0.2880,79,0.030,0.39,-0.77,0.0969,0.1853,0.011,7.8
124,39.3029,225,3.4,0.427,0.2855,82,0.029,0.35,-0.86,0.0847,0.1885,0.011,7.7
125,38.4159,285,3.4,0.513,0.2878,82,0.029,0.44,-0.73,0.0788,0.1927,0.012,7.7
126,40.9963,261,3.5,0.400,0.2949,78,0.030,0.40,-0.90,0.0855,0.1899,0.012,7.7
127,33.6707,198,3.5,0.487,0.2998,81,0.029,0.30,-0.77,0.0824,0.1984,0.012,7.7
128,45.9869,296,3.4,0.453,0.2971,81,0.029,0.46,-0.82,0.0874,0.1976,0.012,7.7
129,27.9217,252,3.4,0.500,0.2979,83,0.028,0.39,-0.75,0.0861,0.2003,0.012,7.8
130,38.0786,244,3.3,0.440,0.2982,80,0.029,0.37,-0.84,0.0905,0.2043,0.024,7.8
131,31.6274,281,3.2,0.467,0.3025,76,0.031,0.43,-0.80,0.0811,0.2062,0.024,7.8
132,36.3783,226,3.3,0.487,0.3059,84,0.028,0.35,-0.77,0.0794,0.2068,0.024,7.8
133,35.1759,240,3.4,0.460,0.3045,83,0.028,0.37,-0.81,0.0756,0.2117,0.024,7.8
134,32.5205,251,3.4,0.467,0.3042,77,0.030,0.39,-0.80,0.0804,0.2202,0.012,7.8
135,27.9758,278,3.4,0.500,0.3038,83,0.028,0.43,-0.75,0.0741,0.2168,0.011,7.8
136,30.1268,246,3.4,0.420,0.3052,82,0.029,0.38,-0.87,0.0819,0.2184,0.011,7.8
137,40.1386,236,3.4,0.493,0.3010,90,0.026,0.36,-0.76,0.0797,0.2075,0.022,7.7
138,40.0473,275,3.5,0.420,0.3028,88,0.027,0.42,-0.87,0.0794,0.2095,0.023,7.7
139,23.6624,225,3.5,0.487,0.3041,86,0.027,0.35,-0.77,0.0803,0.1975,0.023,7.7
140,39.9828,221,3.5,0.393,0.3043,78,0.030,0.34,-0.91,0.0768,0.2005,0.023,7.8
141,23.1568,248,3.6,0.527,0.3094,76,0.031,0.38,-0.71,0.0784,0.1974,0.023,7.8
142,53.4919,256,3.5,0.380,0.3199,83,0.028,0.39,-0.93,0.1020,0.2114,0.023,7.8
143,39.3253,258,3.5,0.527,0.3308,81,0.029,0.40,-0.71,0.0981,0.2149,0.036,7.8
144,40.8373,272,3.4,0.407,0.3349,85,0.028,0.42,-0.89,0.0824,0.2226,0.036,7.7
145,26.4147,251,3.3,0.527,0.3356,85,0.028,0.39,-0.71,0.0808,0.2225,0.036,7.7
146,49.3367,244,3.3,0.380,0.3341,83,0.028,0.37,-0.93,0.0868,0.2162,0.024,7.7
147,36.5161,272,3.3,0.533,0.3329,76,0.031,0.42,-0.70,0.0877,0.2142,0.024,7.8
148,41.4674,259,3.2,0.387,0.3320,82,0.029,0.40,-0.92,0.0893,0.2116,0.034,7.8
149,53.5383,295,3.3,0.487,0.3348,87,0.027,0.45,-0.77,0.0880,0.2140,0.034,7.8
150,46.7749,287,3.3,0.447,0.3291,84,0.028,0.44,-0.83,0.0892,0.2139,0.024,7.8
151,36.4701,261,3.3,0.493,0.3318,83,0.028,0.40,-0.76,0.0803,0.2088,0.035,7.7
152,40.2625,281,3.2,0.427,0.3346,79,0.030,0.43,-0.86,0.0756,0.2054,0.048,7.8
153,30.0782,284,3.4,0.487,0.3330,84,0.028,0.44,-0.77,0.0766,0.1960,0.048,7.8
154,40.6529,248,3.4,0.440,0.3357,83,0.028,0.38,-0.84,0.0775,0.1997,0.050,7.8
155,43.5656,293,3.4,0.467,0.3339,80,0.029,0.45,-0.80,0.0829,0.2018,0.037,7.8
156,47.0652,273,3.4,0.440,0.3341,83,0.028,0.42,-0.84,0.0813,0.1996,0.038,7.7
157,36.8673,266,3.4,0.520,0.3361,80,0.029,0.41,-0.72,0.0800,0.1987,0.038,7.7
158,37.2039,232,3.3,0.407,0.3341,82,0.029,0.36,-0.89,0.0780,0.1988,0.038,7.7
159,27.7429,256,3.3,0.500,0.3329,84,0.028,0.39,-0.75,0.0817,0.2088,0.037,7.8
160,32.4106,241,3.4,0.467,0.3334,85,0.028,0.37,-0.80,0.0806,0.2075,0.024,7.8
161,41.9553,226,3.4,0.447,0.3366,85,0.028,0.35,-0.83,0.0816,0.2137,0.024,7.8
