episode,reward,rate_avg,hops_avg,ho_avg,q_spread,uniq_sat,beam_avg,rew_rate,rew_ho,loss,q_gap_avg,q_gap_noise,n_valid
159,43.4504,269,3.3,0.467,0.2312,79,0.030,0.41,-0.80,0.0701,0.1149,0.083,7.8
160,30.2739,255,3.4,0.460,0.2313,88,0.027,0.39,-0.81,0.0699,0.1120,0.093,7.8
161,28.4266,220,3.4,0.473,0.2255,74,0.032,0.34,-0.79,0.0734,0.0993,0.092,7.8
162,36.0333,235,3.4,0.473,0.2269,80,0.029,0.36,-0.79,0.1003,0.1033,0.074,7.8
163,44.2216,282,3.4,0.507,0.2344,87,0.027,0.43,-0.74,0.0992,0.1066,0.074,7.6
164,38.1768,275,3.3,0.433,0.2352,79,0.030,0.42,-0.85,0.0899,0.1082,0.073,7.7
165,44.1604,281,3.3,0.460,0.2453,79,0.030,0.43,-0.81,0.0882,0.1093,0.074,7.7
166,38.0524,299,3.4,0.447,0.2497,83,0.028,0.46,-0.83,0.0793,0.1068,0.073,7.8
167,15.7318,249,3.5,0.520,0.2502,87,0.027,0.38,-0.72,0.0729,0.1066,0.070,7.9
168,36.2788,213,3.5,0.433,0.2548,85,0.028,0.33,-0.85,0.0781,0.1094,0.062,7.8
169,23.1026,292,3.3,0.493,0.2587,82,0.029,0.45,-0.76,0.0766,0.1102,0.054,7.8
170,35.3006,212,3.3,0.460,0.2672,83,0.028,0.33,-0.81,0.0788,0.1228,0.053,7.9
171,27.3721,210,3.3,0.487,0.2696,80,0.029,0.32,-0.77,0.0894,0.1299,0.053,7.8
172,44.0351,290,3.4,0.467,0.2755,79,0.030,0.45,-0.80,0.0839,0.1389,0.045,7.8
173,43.8479,268,3.4,0.447,0.2800,80,0.029,0.41,-0.83,0.0800,0.1355,0.046,7.8
174,41.2547,286,3.4,0.493,0.2732,84,0.028,0.44,-0.76,0.0848,0.1367,0.031,7.6
175,30.0085,252,3.4,0.473,0.2800,75,0.031,0.39,-0.79,0.0816,0.1400,0.023,7.7
176,38.9416,268,3.4,0.487,0.2888,80,0.029,0.41,-0.77,0.0767,0.1472,0.023,7.7
177,28.9725,251,3.4,0.447,0.2863,80,0.029,0.39,-0.83,0.0744,0.1409,0.023,7.7
178,37.1917,239,3.4,0.453,0.2805,75,0.031,0.37,-0.82,0.0749,0.1429,0.039,7.8
179,31.7310,272,3.3,0.507,0.2826,80,0.029,0.42,-0.74,0.0747,0.1402,0.040,7.8
180,43.7882,257,3.4,0.447,0.2925,87,0.027,0.40,-0.83,0.0810,0.1334,0.040,7.8
181,35.4653,266,3.4,0.493,0.2913,85,0.028,0.41,-0.76,0.0796,0.1301,0.048,7.7
