episode,reward,rate_avg,hops_avg,ho_avg,q_spread,uniq_sat,beam_avg,rew_rate,rew_ho,loss,q_gap_avg,q_gap_noise,n_valid
92,31.8419,305,3.4,0.580,0.1183,66,0.024,0.47,-0.63,0.0651,0.0676,0.107,7.8
93,39.6653,348,3.4,0.370,0.1197,67,0.023,0.53,-0.95,0.0703,0.0696,0.095,7.9
94,39.6877,343,3.2,0.510,0.1237,67,0.023,0.53,-0.73,0.0726,0.0679,0.092,7.9
95,32.6926,344,3.2,0.490,0.1241,62,0.025,0.53,-0.77,0.0759,0.0656,0.093,7.8
96,40.9628,347,3.4,0.490,0.1250,66,0.024,0.53,-0.77,0.0735,0.0677,0.089,7.8
97,44.7331,389,3.3,0.400,0.1240,68,0.023,0.60,-0.90,0.0745,0.0699,0.077,7.9
98,21.6465,267,3.4,0.570,0.1269,61,0.026,0.41,-0.65,0.0679,0.0708,0.063,7.9
99,40.4661,294,3.4,0.400,0.1267,59,0.026,0.45,-0.90,0.0630,0.0708,0.077,8.0
100,36.3441,339,3.3,0.520,0.1244,63,0.025,0.52,-0.72,0.0571,0.0737,0.077,7.9
101,32.1846,325,3.4,0.440,0.1262,61,0.026,0.50,-0.84,0.0595,0.0755,0.065,7.9
102,30.1386,314,3.5,0.490,0.1343,70,0.022,0.48,-0.77,0.1176,0.0857,0.062,7.9
103,32.3744,329,3.2,0.420,0.1380,66,0.024,0.51,-0.87,0.1167,0.0831,0.075,7.8
104,29.4816,316,3.2,0.500,0.1414,68,0.023,0.49,-0.75,0.1147,0.0843,0.077,7.8
105,39.9063,361,3.3,0.410,0.1429,64,0.024,0.56,-0.89,0.1056,0.0916,0.076,7.9
106,27.1002,319,3.5,0.530,0.1428,66,0.024,0.49,-0.70,0.0925,0.0897,0.091,7.9
107,33.2882,322,3.4,0.390,0.1448,61,0.026,0.50,-0.92,0.0850,0.0896,0.090,7.8
108,25.8506,259,3.4,0.510,0.1457,68,0.023,0.40,-0.73,0.0718,0.0890,0.078,7.8
109,35.5414,300,3.4,0.440,0.1526,71,0.022,0.46,-0.84,0.0642,0.0925,0.067,7.8
110,45.6616,328,3.2,0.450,0.1534,67,0.023,0.50,-0.83,0.0621,0.0929,0.080,7.8
111,27.4886,299,3.1,0.480,0.1533,64,0.024,0.46,-0.78,0.0611,0.0921,0.066,7.9
112,34.5107,324,3.2,0.460,0.1555,66,0.024,0.50,-0.81,0.0619,0.0938,0.040,8.0
113,35.0316,348,3.4,0.510,0.1594,69,0.023,0.53,-0.73,0.0683,0.0920,0.052,7.9
114,44.4379,378,3.4,0.460,0.1577,60,0.026,0.58,-0.81,0.0710,0.0930,0.052,7.9
115,34.6379,316,3.4,0.460,0.1567,62,0.025,0.49,-0.81,0.0711,0.0938,0.053,7.8
116,26.7493,311,3.4,0.510,0.1573,65,0.024,0.48,-0.73,0.0662,0.0932,0.053,7.9
117,28.3871,278,3.4,0.460,0.1583,69,0.023,0.43,-0.81,0.0688,0.0927,0.039,7.9
118,39.3812,313,3.3,0.510,0.1633,62,0.025,0.48,-0.73,0.0702,0.0952,0.049,8.0
119,36.8743,375,3.2,0.460,0.1629,67,0.023,0.58,-0.81,0.0653,0.0967,0.049,7.9
120,47.4465,372,3.1,0.430,0.1625,71,0.022,0.57,-0.86,0.0585,0.0947,0.038,7.9
121,37.9592,358,3.2,0.530,0.1575,68,0.023,0.55,-0.70,0.0599,0.0897,0.062,7.9
122,27.4095,344,3.3,0.380,0.1560,68,0.023,0.53,-0.93,0.1105,0.0876,0.063,7.9
